#{"t_start": 1693147490.012485, "env_id": "gym_examples/Schedule-v0"}
r,l,t
-121,148,479.721184
-31,170,480.436561
-19,124,480.958992
-66,384,482.567489
-42,260,483.658859
-55,66,483.956912
-38,91,484.344959
-201.0,280,485.557743
-25,146,486.172537
-27,30,486.303675
-90,149,486.943287
-510.0,250,488.044501
-137.0,100,488.499467
-152.0,393,490.169835
-109,129,490.734072
-18,28,490.85395
-1884.0,114,491.359128
-21,141,491.953942
-32,60,492.212347
-500.0,325,493.651096
-19,101,494.077464
-71,87,494.457952
-175.0,67,494.749937
-37,79,495.086018
-22,139,495.670427
-16,80,496.005453
-32,102,496.437531
-741,805,500.047879
-23,29,500.175637
-22,96,500.587707
-97,146,501.222283
-16,48,522.986806
-103,188,523.753489
-106,255,524.776242
-30,70,525.065225
-18,41,525.233308
-54.0,61,525.486267
-37,76,525.800856
-38,52,526.022938
-92,168,527.090856
-25,51,527.474805
-28,94,528.059624
-32,139,528.762533
-1268.0,188,529.593128
-34,429,531.391654
-26,43,531.575962
-215,302,532.904163
-32,34,533.055383
-67,84,533.424608
-28,48,533.631868
-247,281,534.87675
-21,102,535.306285
-45,57,535.555942
-145.0,211,536.450376
-33,90,536.841695
-1339.0,477,538.845705
-47,52,539.070552
-43,64,539.343457
-35,59,539.594573
-47,51,539.817081
-136,282,541.031916
-477.0,79,541.382282
-17,27,541.498364
-32,79,541.836365
-25,61,542.094151
-151,167,542.834589
-20,171,543.550413
-79,228,544.511282
-27,87,544.877497
-53,103,545.32366
-52,86,545.69068
-123,175,546.452879
-60,127,547.003495
-46,156,547.666033
-46,66,547.953326
-93,190,548.761627
-56,241,549.789016
-101,146,550.422915
-22,29,550.547708
-17,69,550.840529
-27,70,551.137769
-75,107,551.604452
-590.0,236,552.628263
-83,332,554.045245
-109,242,555.071059
-17,47,555.268703
-23,83,555.616998
-17,18,555.695097
-236,308,557.041836
-24,28,557.163563
-18,53,557.389285
-150,237,558.421268
-18,74,558.732869
-18,19,558.815131
-44.0,118,559.317018
-35,109,559.77646
-40,66,560.06211
-101,315,561.388537
-149.0,124,561.925432
-21,150,562.567465
-34,41,562.744598
-106,266,563.874821
-44,56,564.120211
-17,337,565.514427
-28,41,565.68908
-1845.0,375,588.858395
-35,47,589.049806
-19,299,590.233733
-159,280,591.408039
-27,79,591.734282
-174,322,593.113742
-2001.0,867,596.968467
-35,37,597.131818
-176,193,597.992415
-38,159,598.67086
-28,90,599.055976
-139,150,599.732535
-47,87,600.107372
-32,104,600.549506
-41,144,601.17126
-41.0,22,601.267028
-21,53,601.491812
-23,50,601.704396
-26,322,603.047895
-33,46,603.247019
-126.0,93,603.645874
-19.0,41,603.818858
-39,89,604.195557
-105,108,604.674323
-29,70,604.971326
-23,35,605.123004
-272,307,606.48694
-45,52,606.717282
-27,88,607.090566
-18,107,607.540855
-142,271,608.703027
-85,89,609.091654
-18,33,609.233742
-1372.0,703,612.35388
-28,40,612.53019
-32,131,613.088185
-105,139,613.695532
-47,113,614.185368
-488.0,175,614.973716
-32,126,615.508945
-25,66,615.789181
-43,128,616.335456
-492.0,463,618.386028
-225,339,619.873963
-22,34,620.020216
-22,24,620.124204
-814.0,400,621.895339
-35,121,622.409142
-51,70,622.721509
-28,109,623.18164
-17,101,623.609696
-169,279,624.811725
-89,124,625.343316
-76,119,625.859924
-56,101,626.29112
-57,86,626.665762
-19,214,627.570746
-59,201,628.423599
-33,37,628.58565
-132,201,629.465424
-1143.0,277,630.693508
-73,145,652.883239
-49,171,653.566573
-22,423,655.238022
-18,62,655.490965
-92,302,656.728653
-17,65,657.004846
-1317.0,153,657.661178
-18,102,658.080751
-21,152,658.709221
-43,61,658.968049
-29,54,659.195789
-20,130,659.735323
-53,377,661.306855
-24,93,661.697417
-78,236,662.692307
-83,164,663.392228
-1384.0,338,664.868706
-81,140,665.477596
-61.0,98,665.894478
-43,48,666.103233
-279.0,62,666.373605
-143.0,88,666.755052
-682,686,669.841593
-59.0,63,670.120116
-73,119,670.644064
-108,161,671.344423
-239,249,672.449667
-261,289,673.734305
-18,31,673.868878
-19,21,673.960849
-25,202,674.823445
-20,43,675.006994
-75,151,675.654212
-150,131,676.214867
-16,72,676.517092
-69,84,676.885057
-18,44,677.071253
-158,166,677.801802
-55,166,678.517058
-546,200,679.390586
-149,167,680.116999
-143,172,680.866438
-21,33,681.009564
-299,303,682.351512
-265.0,211,683.300178
-250,297,684.561379
-21,57,684.802215
-22,62,685.065646
-92,103,685.513564
-32,97,685.923024
-41.0,27,686.040568
-87,95,686.453997
-20,68,686.740779
-262.0,269,687.943037
-58,124,688.481008
-24,102,688.910936
-85,135,689.489506
-48,62,689.755918
-24,55,689.988087
-25,65,690.263255
-40,218,691.173955
-82,278,692.35196
-20,101,692.77668
-28,135,693.342358
-60,80,693.686846
-35,98,694.098592
-22,38,694.261533
-66,156,694.923734
-34,107,695.375959
-79.0,147,717.558426
-33,85,717.89946
-133,139,718.470744
-41,63,718.729159
-54,122,719.221393
-64,143,719.808411
-22,63,720.066985
-25,39,720.229376
-20,45,720.415945
-21,258,721.481215
-33,117,721.967249
-20,75,722.27763
-41,83,722.626688
-22,107,723.072226
-29,117,723.560458
-24,66,723.838062
-164,187,724.648794
-19,44,724.83516
