#{"t_start": 1693081991.9941504, "env_id": "gym_examples/Schedule-v0"}
r,l,t
-1750.0,68,98.056003
-1933.0,99,98.240635
-9,13,98.264186
-1237.0,36,98.333116
-2395.0,93,98.504766
-1345.0,43,98.58466
-1149.0,74,98.71963
-1414.0,27,98.770313
-1523.0,35,98.836025
-349.0,37,98.907135
-119.0,26,98.954013
-648.0,38,99.024246
-965.0,67,99.148138
-2803.0,118,99.369885
-213.0,12,99.392453
-7,13,99.415891
-1401.0,65,99.547195
-1166.0,66,99.672312
-544.0,37,99.741542
-1027.0,35,99.807325
-227.0,42,99.88403
-8,9,99.901039
-1861.0,71,100.033658
-820.0,112,100.241
-29.0,27,100.289701
-722.0,36,100.357089
-1614.0,95,100.533833
-1375.0,79,100.680326
-25.0,22,100.721054
-579.0,59,100.830135
-2097.0,102,101.01944
-230,43,101.09734
-27,38,101.165812
-10.0,18,101.197821
-1119.0,24,101.243651
-1063.0,73,104.647233
-132,36,104.697458
-1441.0,57,104.778947
-617.0,17,104.803332
-1086.0,68,104.899948
-731.0,25,104.935624
-2364.0,70,105.036071
-326.0,40,105.091169
-1134.0,45,105.155796
-542.0,34,105.202598
-276.0,49,105.272237
-217,31,105.31427
-14.0,13,105.332223
-919.0,44,105.3927
-1266.0,65,105.486998
-661.0,59,105.572879
-333.0,31,105.617783
-844,53,105.696293
-1620.0,43,105.759272
-888.0,103,105.908888
-30.0,16,105.932546
-921.0,33,105.98122
-1595.0,92,106.128652
-13.0,11,106.145096
-663.0,59,106.233627
-3675.0,92,106.373755
-1005.0,78,106.493289
-1305.0,76,106.610473
-13.0,11,106.626748
-247.0,30,106.672309
-1652.0,61,106.767261
-21.0,14,106.78892
-7,12,106.806932
-2361.0,91,106.947471
-474.0,83,107.074438
-222,26,107.114873
-434.0,27,107.156803
-4581.0,157,107.405851
-345.0,37,107.463715
-12,13,107.484549
-5422.0,219,107.843238
-437.0,45,107.914915
-1749.0,127,108.119867
-608,18,108.148871
-1452.0,52,108.233187
-218.0,18,108.261964
-148.0,45,108.333544
-629,38,108.394313
-1155.0,64,108.49815
-308,19,108.528147
-1660.0,55,108.618719
-1177.0,56,108.710078
-2083.0,149,108.950785
-649.0,59,109.046203
-36.0,26,109.088361
-2086.0,95,109.253347
-8,12,109.272619
-32.0,20,109.305144
-561.0,64,109.409978
-520.0,18,109.439831
-17,28,109.484898
-255.0,34,109.541637
-428.0,33,109.597108
-1979.0,90,109.747114
-11.0,11,109.765312
-213,17,109.793467
-833,52,109.878764
-220.0,31,109.929717
-2522.0,101,110.098908
-13,14,110.122006
-1671.0,73,110.243224
-644.0,60,110.343674
-443.0,40,110.410255
-2880.0,62,110.516352
-219,23,110.554639
-435.0,29,110.604432
-1847.0,141,110.841263
-3450.0,142,111.09451
-722.0,32,111.150454
-7.0,14,111.174311
-1515.0,143,111.426238
-30.0,32,111.482666
-846.0,43,111.558393
-852.0,48,111.645633
-623.0,31,111.70029
-1240.0,56,111.800247
-1182.0,63,111.912312
-625.0,30,111.966296
-12.0,11,111.98583
-219,25,112.029636
-1348.0,43,112.107144
-533.0,37,112.17322
-649.0,58,112.274878
-2821.0,165,112.571774
-1667.0,61,112.692003
-1155.0,69,112.815052
-528.0,34,112.876359
-804,17,112.907712
-407,16,112.936132
-315.0,26,112.981698
-23,26,113.027963
-730.0,23,113.071454
-507,15,113.098351
-1515.0,30,113.154185
-16.0,23,113.194416
-3098.0,111,113.398634
-1404.0,89,113.56229
-3521.0,108,113.761797
-3642.0,129,114.000052
-323.0,15,114.026926
-1952.0,74,114.162043
-406.0,10,114.180444
-852.0,53,114.27667
-2515.0,92,114.446134
-3771.0,182,114.792187
-1141.0,40,114.867226
-223.0,19,114.903234
-1006,19,114.938951
-637.0,30,114.994022
-1038.0,33,115.056524
-1184.0,83,115.209127
-2089.0,91,115.379133
-216.0,35,115.441576
-1433.0,39,115.514482
-3487.0,102,115.705626
